City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
601,Galesong,ID,86.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
603,Biltine,TD,84.22,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
605,Tondano,ID,80.69,overcast clouds,1.3038,124.9112,Villa Bella
609,Sunrise Manor,US,89.11,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
612,Bandrele,YT,78.55,broken clouds,-12.9067,45.1914,Les Baobabs
613,Harper,LR,76.51,broken clouds,4.375,-7.7169,Screensaver
615,Moussoro,TD,85.55,overcast clouds,13.6408,16.4901,Hôtel Salama
617,Nizwa,OM,88.47,clear sky,22.9333,57.5333,Orient Apartments
623,Garmsar,IR,82.15,clear sky,35.2182,52.3409,مجتمع مرصاد
624,Banjar,ID,86.83,broken clouds,-8.19,114.9675,The Hamsa Resort
626,Damietta,EG,75.09,clear sky,31.4165,31.8133,SULIMAN INN
631,Marzuq,YE,78.93,overcast clouds,14.4,46.4667,
633,Santa Rosalia,MX,81.07,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
634,Romitan,UZ,78.94,overcast clouds,39.9343,64.3814,Hotel Temur
637,Dzhebariki-Khaya,RU,79.54,overcast clouds,62.2167,135.8,
639,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
640,Phangnga,TH,86.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
642,Waingapu,ID,85.32,few clouds,-9.6567,120.2641,Pondok Wisata Elim
645,Zhangjiakou,CN,85.44,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
648,Lucea,JM,84.06,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
653,Obanazawa,JP,80.76,broken clouds,38.6033,140.4019,ビジネスホテル すがはら
655,Wagar,SD,81.39,overcast clouds,16.1525,36.2032,
658,Kamaishi,JP,76.95,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
659,Khandyga,RU,79.54,scattered clouds,62.6667,135.6,Apel'sin
663,Tautira,PF,78.3,scattered clouds,-17.7333,-149.15,Pension Oaoa
677,La Asuncion,VE,80.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
678,Katobu,ID,84.43,overcast clouds,-4.9408,122.5276,La Ode Husein
679,Nago,JP,88.65,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
680,Atambua,ID,82.24,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
682,Sendhwa,IN,83.25,scattered clouds,21.6833,75.1,Hotel Shagun Garden
687,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
689,Tual,ID,80.17,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
692,Salinopolis,BR,77.99,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
696,Palasa,IN,89.22,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
701,Griffith,US,77.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
